,City,Temperature °F,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
68,Mpongwe,63.97,29,10,2.46,-13.51,28.16
69,Ushuaia,42.8,70,40,13.87,-54.8,-68.3
70,Mezen',43.83,93,100,7.14,65.85,44.24
71,Port Hardy,55.4,87,75,5.82,50.7,-127.42
72,Nome,51.8,63,1,12.75,64.5,-165.41
73,Rome,69.8,73,1,6.93,43.21,-75.46
74,Bluff,41.0,75,95,15.01,-46.6,168.33
75,Luang Prabang,77.0,94,90,1.03,19.89,102.13
76,Avarua,75.2,64,0,10.29,-21.21,-159.78
77,Ulaangom,45.88,53,0,2.89,49.98,92.07
78,New Norfolk,57.99,53,87,3.0,-42.78,147.06
79,Kruisfontein,44.76,80,1,5.91,-34.0,24.73
80,Ilebo,72.12,93,100,2.08,-4.32,20.58
81,Hanover,53.01,81,94,2.24,52.37,9.73
82,Los Llanos de Aridane,73.4,73,20,18.34,28.66,-17.92
83,Iqaluit,26.6,73,5,3.36,63.75,-68.51
84,Gemeente Stadskanaal,54.0,100,100,5.95,52.98,6.95
85,Havre-St-Pierre,51.8,93,90,4.7,50.23,-63.6
86,Trāl,57.52,46,0,1.03,33.93,75.1
87,Barrow,30.2,86,40,9.17,71.29,-156.79
88,Klaksvík,48.2,100,98,18.34,62.23,-6.59
89,Torres,66.09,95,100,7.83,-29.34,-49.73
90,Atasū,38.68,76,0,7.61,48.68,71.64
91,Mallaig,45.16,80,2,4.59,54.22,-111.37
92,Goianésia,80.47,26,4,2.3,-15.32,-49.12
93,Cherskiy,44.96,59,100,12.64,68.75,161.3
94,Castro,65.68,79,100,5.61,-24.79,-50.01
95,Lata,64.0,87,0,2.17,40.16,-8.33
96,Nikolskoye,50.0,81,0,6.71,59.7,30.79
97,Busselton,63.0,82,69,8.93,-33.65,115.33
98,Faanui,78.12,79,7,14.18,-16.48,-151.75
99,São Filipe,79.74,83,18,4.07,14.9,-24.5
100,Ponta do Sol,71.6,64,40,8.05,32.67,-17.1
101,Broken Hill,60.8,38,18,12.75,-31.95,141.43
102,Praia,78.8,88,20,3.36,14.92,-23.51
103,Port Elizabeth,48.2,81,17,6.93,-33.92,25.57
104,Atar,86.77,26,0,11.07,20.52,-13.05
105,Buala,84.27,70,81,6.46,-8.14,159.59
106,Muros,52.0,83,30,1.99,42.78,-9.06
107,Fortuna,68.0,72,20,5.82,40.6,-124.16
108,Arraial do Cabo,75.2,83,4,9.17,-22.97,-42.03
109,Padang,82.0,65,98,1.74,-0.95,100.35
110,Popondetta,87.01,68,100,5.57,-8.75,148.25
111,San Quintín,69.4,77,0,5.21,30.48,-115.95
112,Lüderitz,51.78,64,0,16.28,-26.65,15.16
113,The Valley,82.0,83,40,12.75,18.22,-63.06
114,Seligenstadt,48.0,91,13,1.63,50.04,8.97
115,Barahan,84.99,65,100,1.9,13.01,120.76
116,Kahului,89.6,49,40,21.92,20.89,-156.47
117,Manokwari,84.51,65,17,6.04,-0.87,134.08
118,Norman Wells,53.6,62,90,16.11,65.28,-126.83
119,Bahir Dar,58.24,85,2,3.06,11.59,37.39
120,Inhambane,73.56,86,80,5.88,-23.86,35.38
121,Walvis Bay,50.0,81,0,5.82,-22.96,14.51
122,Pevek,37.11,78,100,24.29,69.7,170.31
123,Bianzhuang,71.91,60,0,5.12,34.85,118.04
124,Saiki,73.4,49,40,14.99,32.95,131.9
125,Jalu,83.59,25,0,7.9,29.03,21.55
126,Bonavista,59.56,87,100,18.66,48.65,-53.11
127,Baie-Comeau,50.0,93,1,3.36,49.22,-68.15
128,Mar del Plata,54.0,100,90,13.87,-38.0,-57.56
129,Tasiilaq,33.8,86,100,16.11,65.61,-37.64
130,Santa Isabel,77.0,53,89,3.36,-23.32,-46.22
131,Eston,50.0,57,20,12.75,51.15,-108.75
132,Ayagoz,39.72,76,98,13.6,47.97,80.44
133,Tuktoyaktuk,37.4,93,90,4.7,69.45,-133.04
134,Vila Franca do Campo,68.0,94,75,9.17,37.72,-25.43
135,Sontra,48.0,96,62,3.29,51.07,9.93
136,Rochegda,48.07,97,90,4.16,62.8,43.25
137,Tulagi,93.2,56,20,17.22,-9.1,160.15
138,Gizo Government Station,80.47,81,100,11.99,-8.1,156.84
139,Bethel,71.6,94,90,3.36,41.37,-73.41
140,Upernavik,27.45,96,99,10.16,72.79,-56.15
141,Anjozorobe,55.4,93,40,2.24,-18.4,47.87
142,Zhanakorgan,50.74,46,0,15.97,43.91,67.25
143,Cabo San Lucas,88.0,78,5,11.41,22.89,-109.91
144,Garoowe,72.81,76,88,5.95,8.41,48.48
145,St. Pete Beach,82.0,94,75,11.41,27.73,-82.74
146,Hasaki,77.0,64,20,9.17,35.73,140.83
147,São João da Barra,74.91,83,0,14.36,-21.64,-41.05
148,Lagoa,70.07,88,28,7.11,39.05,-27.98
149,Chitungwiza,67.53,41,0,8.03,-18.01,31.08
150,Portland,70.0,64,0,1.99,45.52,-122.68
151,Vila Velha,78.01,83,2,17.22,-20.33,-40.29
152,Kodār,77.13,85,51,6.8,16.98,79.97
153,Vaini,78.8,74,20,9.17,-21.2,-175.2
154,Beloha,67.59,93,35,6.76,-25.17,45.05
155,Tizimín,79.34,75,91,8.28,21.15,-88.15
156,Cacequi,60.31,88,100,10.54,-29.88,-54.83
157,Cullman,70.0,93,1,2.04,34.17,-86.84
158,Homer,52.0,73,100,4.0,59.64,-151.55
159,Ishigaki,75.2,100,75,8.05,24.34,124.16
160,Fort Nelson,48.2,87,75,3.36,58.81,-122.7
161,Vestmannaeyjar,46.02,80,100,15.55,63.44,-20.27
162,Rørvik,52.84,80,0,15.39,64.86,11.24
163,Esperance,59.0,93,90,11.41,-33.87,121.9
164,Mweka,68.61,99,85,1.54,-4.85,21.57
165,Ilulissat,24.8,85,0,3.36,69.22,-51.1
166,Mitha Tiwana,79.77,30,0,7.49,32.25,72.11
167,Itarema,77.29,83,9,13.51,-2.92,-39.92
168,Nogliki,53.26,61,0,7.09,51.83,143.17
169,Shenjiamen,73.47,72,51,10.27,29.96,122.3
170,Sinjai,85.32,61,14,6.51,-5.12,120.25
171,Kuril'sk,54.9,85,100,23.78,45.23,147.88
172,Batagay-Alyta,36.86,91,100,2.89,67.8,130.41
173,Kumul,62.26,27,99,0.4,42.8,93.45
174,Fallon,75.2,17,1,8.05,39.47,-118.78
175,Chui,56.12,90,0,12.37,-33.7,-53.46
176,Aras,51.8,71,75,8.05,42.56,-2.36
177,Coquimbo,53.6,87,1,4.7,-29.95,-71.34
178,El Alto,61.09,88,0,16.62,-4.27,-81.21
179,Hithadhoo,82.83,66,100,4.65,-0.6,73.08
180,Sørland,50.7,78,79,12.1,67.67,12.69
181,Butaritari,81.9,79,30,15.79,3.07,172.79
182,Hwange,69.55,40,0,2.21,-18.37,26.5
183,Souillac,71.6,88,40,9.17,-20.52,57.52
184,Yerbogachën,44.91,69,75,12.44,61.28,108.01
185,Turukhansk,36.3,85,100,23.17,65.82,87.98
186,Bathsheba,82.4,78,20,16.11,13.22,-59.52
187,Banjar,84.2,83,40,9.17,-8.19,114.97
188,Inírida,75.25,95,98,1.83,3.87,-67.92
189,Petropavlovsk-Kamchatskiy,51.8,71,75,4.47,53.05,158.65
190,Saint-Philippe,66.2,68,66,4.7,-21.36,55.77
191,Omboué,75.24,75,71,7.38,-1.57,9.26
192,Nouadhibou,73.4,73,0,18.34,20.93,-17.03
193,Sandwick,48.2,87,100,10.29,60.0,-1.25
194,Kavieng,79.32,83,100,7.58,-2.57,150.8
195,Kavaratti,80.92,79,84,9.04,10.57,72.64
196,Mareeba,87.01,54,53,8.99,-17.0,145.43
197,Karratha,85.8,22,17,12.19,-20.74,116.85
198,Lavrentiya,36.54,79,84,13.6,65.58,-171.0
199,Bima,92.08,41,51,6.38,-8.47,118.72
200,Kapit,75.36,90,100,1.74,2.02,112.93
201,Palmer,71.01,89,26,4.5,42.16,-72.33
202,Qaanaaq,12.42,77,78,7.61,77.48,-69.36
203,Bayanday,39.11,83,95,9.44,53.07,105.51
204,Yatou,71.8,57,6,4.45,37.15,122.38
205,Kulhudhuffushi,81.73,75,7,6.49,6.62,73.07
206,Fergus Falls,53.6,76,75,8.05,46.28,-96.08
207,Qandala,84.16,62,89,3.69,11.47,49.87
208,Iaçu,70.61,79,0,2.82,-12.77,-40.21
209,Batemans Bay,59.0,49,0,4.0,-35.72,150.18
210,Olafsvik,44.58,83,100,8.72,64.89,-23.71
211,Nabire,83.25,66,100,3.09,-3.37,135.48
212,Camacha,69.8,68,75,11.41,33.08,-16.33
213,Pingliang,56.88,84,100,6.17,35.54,106.69
214,San Miguel de Cozumel,80.6,88,20,3.36,20.51,-86.95
215,College,53.6,50,1,10.29,64.86,-147.8
216,Saint-Joseph,66.2,68,44,4.7,-21.37,55.62
217,Yulara,89.6,17,0,13.87,-25.24,130.99
218,Airai,77.63,44,11,5.97,-8.93,125.41
219,Massena,72.0,72,1,7.7,44.93,-74.89
220,Cidreira,65.34,97,99,4.56,-30.18,-50.21
221,Dongsheng,59.27,70,100,14.65,39.82,109.98
222,Mahébourg,71.6,88,40,9.17,-20.41,57.7
223,Escanaba,60.01,87,1,6.93,45.75,-87.06
224,Virginia Beach,72.0,83,75,3.36,36.85,-75.98
225,Ribeira Grande,69.55,90,98,7.25,38.52,-28.7
226,Mogadishu,77.23,87,32,10.09,2.04,45.34
227,Wewak,85.28,66,63,5.53,-3.55,143.63
228,Terra Santa,78.6,67,1,1.48,-2.1,-56.49
229,Port-Gentil,75.78,76,76,12.59,-0.72,8.78
230,Kyzyl-Mazhalyk,41.36,64,0,1.45,51.13,90.6
231,Nemuro,55.4,76,75,13.87,43.32,145.57
232,Katsuura,78.01,50,0,7.0,35.13,140.3
233,Valparaíso,48.2,100,0,3.36,-33.04,-71.63
234,Allāpalli,76.95,90,3,2.08,19.42,80.07
235,Sorong,83.82,68,61,4.52,-0.88,131.25
236,Bhasāwar,82.69,53,0,4.85,27.03,77.03
237,Salinas,80.6,39,1,9.17,36.68,-121.66
238,Thompson,42.8,93,90,10.29,55.74,-97.86
239,Meulaboh,80.51,77,98,4.92,4.14,96.13
240,Bubaque,81.5,72,100,5.91,11.28,-15.83
241,Basco,81.41,81,100,9.86,20.45,121.97
242,Mount Isa,84.2,12,11,8.05,-20.73,139.5
243,Caluquembe,54.66,88,0,2.62,-13.78,14.68
244,Shintomi,73.4,53,75,18.34,32.08,131.47
245,Pisco,63.0,77,1,16.11,-13.7,-76.22
246,Jamestown,66.2,77,1,9.17,42.1,-79.24
247,Tiksi,42.53,77,84,11.86,71.69,128.87
248,Hong Kong,82.0,82,100,3.0,22.29,114.16
249,San Sebastián Etla,71.6,60,75,2.24,17.06,-96.79
250,Codrington,54.93,62,0,5.23,-38.27,141.97
251,Purranque,51.8,76,99,1.12,-40.92,-73.17
252,Tilichiki,46.65,71,0,6.98,60.47,166.1
253,Paramonga,60.94,87,42,6.11,-10.67,-77.83
254,Tezu,79.81,79,66,0.51,27.92,96.17
255,Genhe,48.18,55,0,8.86,50.78,121.52
256,Aykhal,30.2,80,75,8.95,66.0,111.5
257,Ola,48.63,82,93,7.47,59.58,151.28
258,Buncrana,52.3,94,100,7.05,55.13,-7.45
259,Kerema,83.86,73,100,7.11,-7.96,145.78
260,Saint Anthony,55.99,87,75,9.17,45.02,-93.22
261,Mossamedes,60.82,90,25,2.37,-15.2,12.15
262,Yinchuan,59.49,80,100,6.89,38.47,106.27
263,Erzin,78.01,82,0,0.81,36.96,36.2
264,Ambon City,82.4,83,75,2.24,-3.7,128.18
265,Lumut,75.2,94,40,4.7,4.23,100.63
266,Murray,57.99,44,28,8.05,40.67,-111.89
267,Mingguang,73.94,62,37,7.38,32.78,117.96
268,Carutapera,77.0,85,4,7.07,-1.2,-46.02
269,Umluj,89.35,30,0,12.57,25.02,37.27
270,Poronaysk,54.64,54,84,4.45,49.22,143.12
271,Wuzhou,77.79,74,93,3.71,23.48,111.32
272,Robertsport,77.49,85,100,3.6,6.75,-11.37
273,Oranjemund,52.25,73,0,5.39,-28.55,16.43
274,Derzhavīnsk,43.12,66,39,2.66,51.1,66.32
275,Bara,74.35,83,100,11.12,10.37,10.73
276,Wuwei,55.24,76,100,8.52,37.93,102.64
277,Poum,74.86,83,20,10.71,-20.23,164.02
278,Cap-aux-Meules,64.4,82,75,18.34,47.38,-61.86
279,Slave Lake,51.8,71,1,2.24,55.28,-114.77
280,Provincia di Imperia,59.0,41,20,2.24,43.97,7.78
281,Damietta,80.6,74,0,11.41,31.42,31.81
282,Sanchursk,45.52,79,50,4.83,56.94,47.25
283,Moscow,48.2,65,70,8.95,55.75,37.62
284,Benguela,70.03,80,47,3.6,-12.58,13.41
285,Grindavik,42.8,93,75,10.29,63.84,-22.43
286,Avera,71.01,97,90,6.08,33.19,-82.53
287,Abhā,64.4,23,0,7.56,18.22,42.51
288,Djebeniana,68.0,52,20,11.41,35.03,10.91
289,Kismayo,77.22,84,41,9.93,-0.36,42.55
290,Orshanka,45.14,79,47,4.32,56.92,47.89
291,Yangi Marg`ilon,55.4,43,10,6.93,40.43,71.72
292,Kangaatsiaq,34.41,83,98,7.0,68.31,-53.46
293,Ayr,42.8,93,100,5.82,55.46,-4.63
294,Puerto Ayacucho,77.77,82,83,3.33,5.66,-67.62
295,Tūkrah,83.95,45,0,22.37,32.53,20.58
296,Bilibino,38.91,66,100,3.53,68.05,166.44
297,Mayo,69.8,100,40,4.61,38.89,-76.51
298,Médéa,55.4,93,0,1.12,36.26,2.75
299,Real,86.0,74,75,5.82,14.66,121.6
300,Tigil',53.17,44,85,5.53,57.8,158.67
301,East Wenatchee,68.0,34,1,5.82,47.42,-120.29
302,Saint George,84.2,12,1,28.86,37.1,-113.58
303,Qui Nhon,83.71,73,100,1.23,13.77,109.23
304,Nuevo Ideal,61.12,42,0,2.44,24.89,-105.07
305,Caravelas,71.87,88,0,7.36,-17.71,-39.25
306,Ayan,52.2,90,100,10.51,56.45,138.17
307,Astoria,66.2,72,1,6.93,46.19,-123.83
308,Uglovoye,63.1,67,0,5.01,44.82,33.6
309,Richards Bay,60.51,90,100,12.28,-28.78,32.04
310,Bolgar,37.4,93,80,3.22,54.95,49.07
311,Riverton,57.2,46,82,8.05,40.52,-111.94
312,Ciudad del Carmen,83.34,83,100,4.59,18.63,-91.83
313,Darnah,76.64,72,5,20.78,32.77,22.64
314,Gemeente Heerenveen,55.99,93,100,4.54,52.95,5.93
315,Mahon,66.2,55,94,11.41,39.89,4.27
316,Dvinskoy Bereznik,48.81,96,85,4.14,62.86,42.71
317,Socorro,91.4,10,5,10.29,31.65,-106.3
318,Morehead,69.8,77,1,3.36,37.27,-87.18
319,Juneau,55.4,66,90,13.87,58.3,-134.42
320,Biak,82.99,63,91,8.77,-0.91,122.88
321,Dudinka,28.4,92,40,13.42,69.41,86.18
322,Burlington,71.6,100,90,4.7,39.88,-74.64
323,Spirit River,52.0,81,90,5.82,55.78,-118.84
324,Nizhny Tagil,42.04,91,44,3.62,57.92,59.97
325,Jenks,60.01,84,99,3.0,36.02,-95.97
326,Morondava,73.26,81,26,4.34,-20.28,44.28
327,Mountain Home,64.4,31,1,17.22,43.13,-115.69
328,Alyangula,89.6,40,70,14.99,-13.85,136.42
329,Sicuani,49.71,57,100,3.76,-14.27,-71.23
330,Cam Ranh,87.8,79,20,3.36,11.92,109.16
331,Jesús del Monte,60.8,72,90,11.41,19.11,-99.99
332,Nampula,66.7,91,1,5.93,-15.12,39.27
333,Mitsamiouli,76.46,78,63,13.87,-11.38,43.28
334,Beringovskiy,40.06,67,0,7.49,63.05,179.32
335,Touros,75.2,94,40,5.82,-5.2,-35.46
336,Serenje,64.08,33,0,3.8,-13.23,30.24
337,Navoiy,46.4,61,25,4.7,40.08,65.38
338,Petropavlovka,44.78,60,0,3.18,50.61,105.32
339,Bengkulu,82.47,71,95,7.99,-3.8,102.27
340,Langxiang,59.67,64,98,5.48,46.95,128.88
341,Shaunavon,47.55,54,31,13.53,49.65,-108.42
342,Dawlatabad,51.73,39,25,1.19,36.41,64.91
343,Addanki,79.14,80,91,6.98,15.82,79.98
344,Mirny,41.0,80,75,13.42,62.54,113.96
345,Ancud,46.99,90,79,1.01,-41.87,-73.82
346,Aklavik,35.6,90,90,5.82,68.22,-135.01
347,Kentau,48.4,50,0,19.93,43.52,68.51
348,Bonthe,76.8,89,100,5.03,7.53,-12.51
349,Kokopo,80.6,78,90,1.21,-4.35,152.26
350,Rāwah,76.48,45,0,13.49,34.48,41.91
351,Elizabeth City,71.6,94,20,5.19,36.29,-76.25
352,Severo-Kuril'sk,47.59,89,100,46.26,50.68,156.12
353,Łomża,46.26,90,15,6.55,53.18,22.06
354,Geraldton,69.8,56,40,9.17,-28.77,114.6
355,Manta,69.8,83,75,8.05,-0.95,-80.73
356,Sur,81.18,52,0,6.71,22.57,59.53
357,Namatanai,82.31,73,93,3.91,-3.67,152.43
358,Korla,66.0,83,0,1.01,41.76,86.15
359,Sisimiut,31.41,93,52,8.68,66.94,-53.67
360,Canberra,60.01,47,0,8.05,-35.28,149.13
361,Salinópolis,79.07,82,18,12.71,-0.61,-47.36
362,Puerto Madryn,53.82,42,0,10.25,-42.77,-65.04
363,Jega,76.91,80,3,8.81,12.22,4.38
364,Prince Rupert,57.2,93,90,8.05,54.32,-130.32
365,Crestview,75.2,88,90,4.7,30.76,-86.57
366,Clyde River,26.6,92,90,11.41,70.47,-68.59
367,Sijunjung,77.95,72,98,0.72,-0.69,100.95
368,Alice Springs,84.2,11,75,5.82,-23.7,133.88
369,Yakima,69.8,30,1,1.5,46.47,-120.67
370,Waipawa,57.2,58,26,27.51,-41.41,175.52
371,Edd,85.64,70,0,1.72,13.93,41.69
372,Buraidah,80.6,36,0,10.29,26.33,43.98
373,Hīt,79.21,37,0,16.8,33.64,42.83
374,Champerico,66.0,92,40,8.3,14.3,-91.92
375,Bay-ang,83.77,73,1,1.36,11.03,122.94
376,Narsaq,37.4,55,0,5.82,60.92,-46.05
377,Marsh Harbour,82.9,72,76,5.23,26.54,-77.06
378,Samarai,80.87,81,86,14.74,-10.62,150.67
379,Broome,66.99,88,40,5.82,42.25,-75.83
380,Boa Vista,82.4,74,40,2.24,2.82,-60.67
381,Udachny,30.2,80,75,8.95,66.42,112.4
382,Avrămeni,48.2,76,1,3.36,48.02,26.95
383,Guerrero Negro,72.16,72,0,13.33,27.98,-114.06
384,Henties Bay,50.0,82,0,1.01,-22.12,14.28
385,Oga,42.01,100,90,1.12,46.46,10.35
386,Vanavara,44.62,80,95,12.97,60.34,102.28
387,Manicoré,75.2,94,8,2.17,-5.81,-61.3
388,Kieta,77.9,87,100,5.37,-6.22,155.63
389,Port Lincoln,61.99,58,6,24.38,-34.73,135.87
390,Guadalupe y Calvo,57.11,84,64,1.72,26.1,-106.97
391,Santa Cruz de la Sierra,77.0,83,40,2.24,-17.8,-63.17
392,Nhulunbuy,86.0,62,75,16.11,-12.23,136.77
393,Dalbandin,66.4,23,0,1.66,28.89,64.41
394,Yumen,57.02,31,90,13.49,40.28,97.2
395,Torbay,64.0,93,90,21.92,47.67,-52.73
396,Paamiut,36.75,79,0,17.22,61.99,-49.67
397,Westport,71.6,94,90,8.05,41.14,-73.36
398,Zhaotong,58.57,90,100,3.78,27.32,103.72
399,Constitución,51.01,83,0,9.6,-35.33,-72.42
400,Siocon,84.9,67,94,0.43,7.71,122.14
401,Esim,75.61,90,93,9.31,4.87,-2.24
402,Ujhāni,79.14,55,0,2.24,28.02,79.02
403,El Guamo,76.53,92,100,4.65,10.03,-74.98
404,Oktyabr'skiy,48.78,76,100,2.01,54.48,53.47
405,George,41.0,86,0,4.7,-33.96,22.46
406,Yerofey Pavlovich,49.55,56,44,6.64,53.97,121.97
407,Hobyo,75.42,93,40,8.63,5.35,48.53
408,Acaraú,77.14,82,20,13.8,-2.89,-40.12
409,Enshi,64.63,78,96,1.25,30.3,109.48
410,Buchanan,77.4,87,100,5.3,5.88,-10.05
411,Harar,58.68,77,0,2.51,9.31,42.13
412,Esmeraldas,77.0,38,0,8.05,-19.76,-44.31
413,Longyearbyen,33.8,100,90,16.11,78.22,15.64
414,Arroyo de la Encomienda,45.0,87,0,6.93,41.61,-4.8
415,Ploemeur,44.01,93,23,5.82,47.73,-3.43
416,Kwang Binh,84.16,77,100,5.57,17.48,106.6
417,Zhengjiatun,67.23,64,4,5.82,43.51,123.51
418,Saint Lawrence,69.01,72,0,10.29,36.06,14.2
419,Tarakan,78.35,86,100,10.02,3.3,117.63
420,Zvishavane,61.27,85,70,4.7,-20.33,30.07
421,Nyköping,53.6,100,90,8.05,58.75,17.01
422,Tombouctou,92.01,14,0,8.12,20.0,-3.0
423,Tuatapere,41.0,75,91,15.01,-46.13,167.68
424,Lima Duarte,69.39,48,0,3.42,-21.84,-43.79
425,Labuhan,85.06,61,100,6.62,-6.88,112.21
426,Dongying,75.2,50,37,4.47,37.46,118.49
427,Las Palmas,73.4,78,75,18.34,28.42,-14.01
428,Kattivākkam,82.4,78,40,8.05,13.22,80.32
429,Zemio,69.66,97,99,4.27,5.03,25.14
430,Erenhot,52.95,53,100,17.22,43.65,111.98
431,Andenes,44.6,70,2,14.99,69.31,16.12
432,Kui Buri,77.0,94,75,4.7,12.08,99.85
433,Weihai,79.0,54,4,3.65,37.5,122.11
434,Orlik,37.22,72,0,1.97,52.52,99.83
435,Ontario,82.4,48,20,12.75,34.06,-117.65
436,Bonito,84.94,42,46,4.29,-21.12,-56.48
437,Balkhash,37.4,65,20,8.95,46.84,74.98
438,Alugan,85.77,71,90,7.27,12.22,125.48
439,Ystad,60.8,82,98,12.75,55.43,13.82
440,Young,57.0,85,20,5.01,-32.68,-57.63
441,Birao,71.37,95,100,3.47,10.28,22.79
442,Santa Fe,61.0,60,0,3.0,-31.63,-60.7
443,Verāval,78.15,78,21,5.14,20.9,70.37
444,Ntcheu,67.05,56,16,3.4,-14.82,34.64
445,Galle,81.28,79,6,8.79,6.04,80.22
446,Cabedelo,75.2,100,75,8.05,-6.98,-34.83
447,Shepetivka,46.92,86,0,5.37,50.19,27.06
448,Antofagasta,57.2,76,90,9.17,-23.65,-70.4
449,Maningrida,88.52,52,90,13.11,-12.07,134.27
450,Calceta,69.8,83,75,8.05,-0.85,-80.17
451,Hirara,75.2,100,75,9.17,24.8,125.28
452,Ouro Fino,73.33,44,53,2.15,-22.28,-46.37
453,Alta Floresta,75.2,100,50,2.17,-9.88,-56.09
454,Lompoc,68.0,77,1,9.17,34.64,-120.46
455,Giyani,63.21,84,85,7.29,-23.3,30.72
456,Kutum,75.18,65,100,4.29,14.2,24.67
457,Ostrovnoy,41.18,87,23,11.52,68.05,39.51
458,Sioux Lookout,48.2,87,90,9.17,50.1,-91.92
459,Egvekinot,32.88,84,0,2.71,66.32,-179.17
460,Deer Lake,62.6,88,90,11.41,49.17,-57.43
461,Zambezi,73.0,32,55,1.43,-13.54,23.1
462,Santa Rosa del Sur,71.08,92,99,2.46,7.96,-74.05
463,Alpena,60.8,87,1,4.7,45.06,-83.43
464,Mumbai,80.6,88,75,4.7,19.01,72.85
465,Necochea,46.99,94,100,11.01,-38.55,-58.74
466,Northam,51.01,95,100,1.01,51.03,-4.22
467,Bucerías,84.2,83,90,6.93,20.75,-105.33
468,Arman',50.74,73,40,6.89,59.7,150.17
469,Topchikha,35.6,93,94,6.71,52.82,83.12
470,Moerai,71.6,74,53,17.58,-22.43,-151.33
471,Vrangel',62.67,74,0,6.98,42.73,133.08
472,La Palma,71.01,77,1,9.17,33.85,-118.05
473,Nizwá,76.86,51,0,0.81,22.93,57.53
474,Bilma,86.41,17,90,2.77,18.69,12.92
475,Salalah,77.0,83,40,3.36,17.02,54.09
476,Naze,80.6,69,75,17.22,28.37,129.48
